serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
69,54.94,1.47,75.39,78.52,63.28,98.55,138.31,155.62,142.05,3.16
70,56.62,3.07,78.48,79.84,61.63,93.00,138.19,150.52,136.61,4.75
71,48.78,-4.90,68.03,68.79,68.50,96.13,136.88,178.28,173.63,-9.04
72,51.38,-1.29,70.53,71.91,65.31,97.06,138.01,-177.50,178.57,-7.94
73,55.42,3.16,74.27,74.57,65.97,88.96,137.05,172.42,168.21,-1.15
74,54.64,2.56,74.29,74.73,65.85,89.70,137.41,172.83,168.83,-1.52
75,55.34,3.29,75.29,75.81,65.55,89.80,137.50,173.22,169.84,-1.64
76,56.25,3.64,76.42,77.00,65.25,89.20,138.36,173.14,168.68,-1.05
77,47.94,-4.52,57.36,58.66,77.56,85.00,132.51,165.36,161.64,-9.24
78,49.08,-0.36,58.55,62.39,75.22,83.71,133.53,156.07,158.17,0.32
79,53.82,4.70,60.96,64.11,74.68,80.02,133.44,153.21,157.07,2.59
80,49.34,-0.69,58.19,64.05,76.58,88.75,139.81,169.83,170.79,-36.46
81,50.64,1.11,60.02,67.27,73.53,87.62,137.87,162.83,157.75,-0.46
82,52.52,3.35,61.94,67.97,72.60,83.71,136.57,160.67,156.06,5.90
83,51.96,2.77,62.44,68.09,73.41,85.95,136.69,160.85,158.69,2.82
84,53.03,4.18,63.85,69.40,72.36,86.42,136.90,159.97,157.19,4.54
85,52.48,3.82,63.45,68.56,73.35,83.54,135.75,157.44,154.84,7.91
86,51.96,3.15,62.89,67.66,73.69,84.42,135.46,156.58,153.78,9.55
87,52.85,4.15,63.27,68.03,73.42,83.60,135.52,156.32,153.82,9.65
88,53.23,4.72,63.97,68.73,72.69,84.73,136.23,156.27,154.09,9.66
89,53.99,5.44,64.16,69.10,72.68,84.73,136.11,156.49,154.30,8.97
90,53.24,4.89,63.47,68.15,73.53,83.28,135.60,156.26,154.04,9.34
91,54.27,5.98,63.71,68.42,72.77,81.80,135.25,154.94,152.32,11.71
92,56.68,8.48,67.17,71.36,71.36,82.55,136.21,152.54,151.74,10.54
93,54.85,6.13,67.03,71.09,72.38,82.43,136.30,148.93,143.22,11.05
94,52.10,3.69,67.73,70.61,71.20,88.65,138.81,165.74,168.18,-1.70
95,52.23,4.42,67.20,70.21,70.99,87.01,137.77,169.02,172.77,-1.26
96,51.17,3.49,66.30,69.14,72.24,85.56,136.62,168.91,172.65,-2.34
97,52.97,5.16,67.65,70.43,71.20,86.00,137.41,169.26,172.97,-0.63
98,53.46,5.30,67.66,71.01,70.30,86.93,137.89,168.55,172.12,1.80
99,53.45,5.64,67.49,70.69,71.57,83.97,136.79,167.33,170.95,1.57
100,52.96,5.15,67.44,70.39,71.57,85.39,137.13,167.19,170.61,1.74
101,53.18,5.53,67.44,70.44,71.68,84.79,136.94,166.66,169.96,2.35
102,52.94,5.37,67.77,70.63,71.27,85.25,137.11,166.81,170.94,2.96
103,55.20,7.12,70.24,73.23,69.14,86.37,137.73,168.92,174.60,0.94
104,47.96,-2.34,74.57,76.16,63.33,106.36,143.17,-161.23,-150.73,-9.53
105,73.89,29.14,83.48,75.39,48.52,103.14,144.77,-22.58,-25.32,-0.94
106,61.92,26.34,68.72,72.63,55.92,46.48,123.75,109.22,79.76,24.21
107,58.82,18.35,65.76,75.84,64.33,60.30,130.45,143.54,120.75,11.92
108,41.71,1.08,43.22,54.83,76.11,66.83,125.26,153.14,141.13,11.23
109,49.40,12.07,46.01,55.98,68.07,54.68,122.32,143.51,125.44,24.48
110,45.48,3.65,38.67,47.60,81.35,65.27,126.40,156.61,149.74,-0.38
111,55.81,3.62,62.32,79.01,62.45,97.45,148.71,176.73,163.96,-13.32
112,50.43,-1.53,51.32,67.13,67.84,97.13,147.51,176.23,172.59,-27.18
113,51.41,-0.88,52.65,69.20,65.81,99.36,149.53,179.30,177.01,-26.35
114,49.75,-2.73,51.28,68.22,64.83,102.11,150.58,-178.39,-178.51,-28.10
115,48.22,-3.93,51.20,69.51,64.39,103.54,150.18,-179.69,176.74,-22.26
116,57.03,5.71,54.28,69.43,67.15,85.68,142.03,163.59,145.72,-2.29
117,57.43,5.77,53.97,69.91,66.35,90.14,144.21,168.01,153.71,-6.85
118,48.57,-3.47,48.01,63.87,60.59,111.39,157.80,-167.17,-159.52,-36.43
119,41.97,-9.68,44.40,62.13,66.73,104.93,149.42,178.01,172.47,-24.97
120,56.53,5.13,54.37,68.10,68.32,101.17,150.56,177.39,174.31,-26.19
121,55.20,7.91,46.98,57.46,68.72,66.15,129.54,146.06,125.72,25.45
122,53.58,2.57,49.40,58.51,76.06,83.69,137.75,158.84,150.40,-10.17
123,59.72,13.91,46.15,53.12,70.69,50.93,125.79,141.51,126.99,21.32
124,42.39,-8.29,64.88,80.45,60.26,119.84,154.59,-177.22,166.51,-16.06
125,56.34,5.21,63.28,79.72,60.85,117.46,153.75,-179.28,169.17,-13.17
126,55.04,2.82,55.72,69.91,64.48,108.19,149.01,174.64,166.86,-15.23
127,62.95,10.76,62.17,74.24,63.05,108.31,150.47,173.48,164.86,-11.25
128,57.13,5.11,56.42,68.88,64.35,109.31,150.01,175.37,169.61,-14.46
129,58.44,6.24,57.74,70.38,61.94,114.95,153.31,-178.59,-179.91,-18.24
130,56.60,5.17,57.50,70.49,62.86,114.01,152.41,178.66,175.47,-14.86
131,62.32,11.13,64.88,71.78,64.96,100.65,147.26,164.38,156.06,-6.57
132,62.57,11.13,61.22,69.45,65.24,96.70,144.55,160.02,148.28,0.60
133,51.49,0.43,48.27,57.11,72.28,87.35,138.63,164.23,157.41,-7.96
134,52.40,3.36,46.79,53.48,76.01,76.81,132.01,152.39,143.55,16.44
135,38.35,-29.92,50.83,58.02,77.52,84.65,126.03,158.32,148.04,-6.90
136,40.04,-28.04,48.11,62.06,71.29,94.21,135.83,173.53,172.01,-37.58
137,49.21,-19.28,49.95,66.02,64.42,106.15,147.54,-178.00,-175.29,-25.67
138,47.13,-18.83,44.51,60.59,66.93,101.68,147.52,-179.47,-177.33,-32.26
139,29.87,-35.40,27.54,41.43,70.15,98.91,140.92,-179.79,-177.10,-63.34
140,58.13,-9.00,57.22,70.55,66.53,112.63,152.07,-177.69,176.33,-16.60
141,62.88,-2.21,62.38,77.70,57.33,125.42,160.29,-163.22,-151.20,-15.57
142,56.14,-4.19,47.37,60.32,71.50,83.95,140.76,164.60,155.45,-0.29
143,57.67,-3.69,46.60,59.06,73.34,79.28,140.48,165.65,158.39,-3.52
144,59.55,-1.07,47.86,59.65,69.06,76.57,139.77,161.35,149.61,8.33
145,38.99,-21.37,39.70,57.69,67.69,108.66,149.17,177.24,174.58,-13.65
146,71.32,11.18,54.79,63.01,69.63,60.68,142.64,158.68,146.94,14.83
147,72.13,10.26,59.45,73.85,57.98,107.53,150.41,169.08,149.54,4.57
148,76.62,25.50,63.80,68.91,57.28,30.10,141.97,141.13,114.80,19.38
149,79.93,24.55,65.83,74.30,56.05,33.43,146.63,153.55,124.33,10.05
150,71.29,17.10,57.32,66.60,63.29,56.56,140.30,154.67,138.16,13.67
151,55.91,1.09,43.16,53.33,72.26,74.85,135.63,161.89,154.07,8.88
152,56.15,-0.75,43.75,48.82,78.21,81.09,139.47,168.53,160.63,-1.11
153,55.58,-0.94,53.90,57.73,74.80,75.04,133.57,148.61,141.01,18.77
154,33.95,-24.12,46.65,60.65,71.15,99.46,134.55,-179.51,168.79,-37.00
155,41.65,-14.55,40.59,52.28,79.34,87.56,126.28,163.38,150.59,-15.49
156,44.40,-11.27,36.65,47.85,80.72,76.97,123.08,159.81,148.51,-6.87
157,48.35,-9.42,39.06,50.50,78.16,83.62,128.32,161.12,147.47,7.18
158,49.22,-8.41,38.25,49.65,77.79,84.67,132.21,162.84,153.28,2.87
159,47.85,-9.45,35.16,44.15,86.57,82.32,130.85,162.29,154.90,-15.11
