p1,p2,p3,p4,p5,r1,r2,r3,r4,r5,label
-3.72,17.11,17.59,8.28,1.71,-27.03,16.31,47.54,45.63,46.26,ও
-11.79,19.53,24.05,14.57,4.99,-39.16,2.97,33.6,35.79,38.61,ও
-11.19,20.42,24.54,14.9,5.41,-39.87,3.37,34.24,36.24,38.96,ও
-24.39,12.37,18.92,12.17,1.58,-43.48,-6.87,19.71,24.39,30.95,ও
-27.13,11.54,19.91,13.97,3.36,-44.48,-6.71,19.98,25.08,32.16,ও
-29.32,3.13,8.04,3.06,-6.17,-32.21,-2.2,22.21,24.73,31.76,ও
-31.31,-0.07,4.14,-0.23,-8.9,-33.71,0.49,24.9,26.51,33.39,ও
-33.31,-3.56,0.25,-2.73,-11.1,-28.98,1.5,24.49,25.4,32.45,ও
-28.19,0.63,5.7,-2.3,-7.41,-16.92,-1.17,21.61,21.08,29.36,ও
-25.28,4.67,8.99,0.09,-7.46,-39.52,1.5,28.98,29.31,35.74,ও
-27.99,5.1,10.94,1.76,-8.34,-40.59,-3.66,23.63,25.23,32.36,ও
-27.61,5.39,11.23,1.8,-8.02,-40.68,-3.71,23.39,25.18,32.45,ও
-27.83,6.36,13.16,3.38,-6.63,-43.22,-5.86,21.38,24.28,31.81,ও
-27.76,8.65,16.03,5.99,-5.07,-49.37,-9.35,18.18,22.46,30.9,ও
-37.26,-5.72,0.4,-5.16,-13.92,-36.2,-2.66,20.51,21.98,30.74,ও
-28.11,8.83,16.24,6.47,-4.09,-45.69,-3.14,24.08,26.35,33.07,ও
-15.93,12.89,16.06,4.2,-4.49,-38.65,8.42,37.89,37.14,42.84,ও
-31.69,2.19,8.71,0.58,-9.9,-39.26,-3.65,19.98,22.81,31.61,ও
-33.22,-0.22,5.23,-2.37,-7.81,-35.59,1.23,24.8,25.58,34.83,ও
-32.44,-1.45,3.65,-3.7,-7.48,-33.83,1.24,24.76,25.46,32.98,ও
-32.18,-0.8,4.15,-3.82,-13.01,-34.74,2.37,25.91,25.73,32.25,ও
-34.14,0.0,5.93,-1.97,-12.51,-39.13,-2.29,21.14,22.23,29.11,ও
